ID,LINE,MAIN_CONTRACT,ADDRESS,LOC,COMPILER_VERSION
2018-10299,257,BecToken,0xc5d105e63711398af9bbff092d4b6769c82f793d,299,v0.4.19+commit.c4cbbb05
2018-10706,250,Token,0xb75a5e36cc668bc8fe468e8f272cd4a0fd0fd773,404,v0.4.22-nightly.2018.3.16+commit.2b2527f3
2018-11239,81,Hexagon,0xB5335e24d0aB29C190AB8C2B459238Da1153cEBA,102,v0.4.18+commit.9cf6e910
2018-11335,188.190.191,GVToken,0x103c3a209da59d3e7c4a89307e66521e081cfdf0,245,v0.4.16+commit.d7661dd9
2018-11411,90,DimonCoin,0xf084d5bc3e35e3d903260267ebd545c49c6013d0,126,v0.4.16+commit.d7661dd9
2018-11429,137.139.140,ATL,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,165,v0.4.16+commit.d7661dd9
2018-11446,393,GRX,0x219218f117dc9348b358b8471c55a073e5e0da0b,432,v0.4.16+commit.d7661dd9
2018-11561,72.73,ERC20Token,0x00a0cbe98e4d110b0fa82646152d77babf2951d0,146,v0.4.18+commit.9cf6e910
2018-11687,41,BitcoinRed,0x6aac8cb9861e42bf8259f5abdc6ae3ae89909e11,99,v0.4.18+commit.9cf6e910
2018-12025,111,FuturXe,0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,161,v0.4.11+commit.68ef5810
2018-12062,165,SwftCoin,0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,171,v0.4.11+commit.68ef5810
2018-12067,165,MyAdvancedToken,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,171,v0.4.11+commit.68ef5810
2018-12068,165,MyAdvancedToken,0xac3da587eac229c9896d919abc235ca4fd7f72c1,171,v0.4.11+commit.68ef5810
2018-12230,111,RemiCoin,0x7Dc4f41294697a7903C4027f6Ac528C5d14cd7eB,161,v0.4.11+commit.68ef5810
2018-13041,187,LinkToken,0xE2E6D4BE086c6938B53B22144855eef674281639,190,v0.4.8+commit.60cc1668
2018-13068,83,AzurionToken,0x9A7069c319E0052e071fcB437c8AA3343555dadC,162,v0.4.16+commit.d7661dd9
2018-13069,209,DYC,0x824D83318d9637715a491B6CBb0244f55c0D5bAf,244,v0.4.19+commit.c4cbbb05
2018-13070,136,EncryptedToken,0x7D227Fe3C5885c3875180E03C548D09EBE1B0119,165,v0.4.24+commit.e67f0147
2018-13071,193,CCindexToken,0xAb3a93b317DeF7426C8345538690036cB92A11E6,227,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13072,135,Coffeecoin,0x9D5bd53fc23D6485A80B9879097E67a797365Ca5,164,v0.4.12+commit.194ff033
2018-13073,137,ETHEREUMBLACK,0xE2fA3d7B292c216390AbAd4c625d5f2524B85A1f,171,v0.4.17+commit.bdeb9e52
2018-13074,208,FIBToken,0x24A45d81170005Be4f51c8a294883b394BD83412,223,v0.4.24+commit.e67f0147
2018-13075,221,CarbonExchangeCoinToken,0x0Eb152d2bba8aF722D7E296A1F223d819C3bbB1f,271,v0.4.18+commit.9cf6e910
2018-13076,135,Betcash,0x4D391B4350cA1C690eBaf00d35bfcDd5721470F8,164,v0.4.12+commit.194ff033
2018-13077,159,CTB,0xb57E2EC276460a993393cA1bB2BdAe6c8170c73A,195,v0.4.13+commit.fb4cb1a
2018-13078,132,Jitech,0xF94d0b334b2CDEaAFCd7B2796B8743fb72dbFFF1,141,v0.4.20+commit.3155dd80
2018-13080,132,Goutex,0xb57bB80bc676Bc1134432860bd27A9D048ABe0B0,141,v0.4.20+commit.3155dd80
2018-13081,137,GZSToken,0xA1f87895550EAc6a8e9E4318466F482612a5986D,167,v0.4.11+commit.68ef5810
2018-13083,202,PlazaToken,0x332124F226e80c3AFdBb59271f550881b20604A1,215,v0.4.21+commit.dfe3193c
2018-13084,125,GoodTimeCoin,0x584a0EC8A7A3fcfEd27Db5C234A9062863883778,151,v0.4.21-nightly.2018.2.15+commit.f4aa05f3
2018-13085,256,FreeCoin,0xfdEA2AD97EC5297090c8d945f25a15f17f4C283d,291,v0.4.21+commit.dfe3193c
2018-13086,142,IADOWR,0xC1E2097d788d33701BA3Cc2773BF67155ec93FC4,171,v0.4.16+commit.d7661dd9
2018-13087,194,MyAdvancedToken,0x294eE9f35988aF1ce361409Cee4251a293D21f5c,229,v0.4.24+commit.e67f0147
2018-13089,215,UCoinToken,0xaaabD58B6D94b21859F9Fc2B4E829f532283Cf69,250,v0.4.16+commit.d7661dd9
2018-13090,209,YiTongCoin,0xDf07Fa1b102c00124E96F18Ea612bbbe553f50e1,244,v0.4.19+commit.c4cbbb05
2018-13091,74,sumocoin,0x524A1407223446e3BAb8819ABb3fb8348C29afEc,202,v0.4.18+commit.9cf6e910
2018-13127,209.211.212,DSPXToken,0x30dda19c0b94a88ed8784868ec1e9375d9f0e27c,238,v0.4.19+commit.c4cbbb05
2018-13128,162.164.165,ETY,0x0661f731f7f442a4147b87af5e77a9ecc7ed744e,193,v0.4.21+commit.dfe3193c
2018-13129,220.222.223,SPXToken,0x05aaaa829afa407d83315cded1d45eb16025910c,276,v0.4.19+commit.c4cbbb05
2018-13145,217.218,JavaSwapTest,0x4868d191a23428Fa9ACa36a3d0f1421f33D12226,230,v0.4.24+commit.e67f0147
2018-13155,260,GEMCHAIN,0xfb340423dfac531b801d7586c98fe31e12a32f31,279,v0.4.18+commit.9cf6e910
2018-13156,279,bonusToken,0x362dcc7187cf0c47be45695549c6b4fb96c08875,376,v0.4.17+commit.bdeb9e52
2018-13157,209,CryptonitexCoin,0x2c0c06dae6bc7d7d7d8b0d67a1f1a47d6165e373,244,v0.4.20-nightly.2018.1.17+commit.4715167e
2018-13158,67,AssetToken,0x6248211b830ce0191c7643b19f5ddb059e018672,110,v0.4.11+commit.68ef5810
2018-13159,74,bankcoin,0xf3836bc7415dfb67b4bf8427e37705b1a81e1173,202,v0.4.18+commit.9cf6e910
2018-13160,74,etktokens,0xce58d27fd266e63c4055ce1b77c6fd6e0a74190b,202,v0.4.18+commit.9cf6e910
2018-13161,215,MultiGamesToken,0x52a5e1a56a124dce84e548ff96122246e46d599f,250,v0.4.19+commit.c4cbbb05
2018-13162,74,ALEX,0x04ed15fa8c47778589c1bf3451e0de25c1eed3ae,202,v0.4.18+commit.9cf6e910
2018-13164,204,MyEPPToken,0x759981e5af7661836d305f71779690808c1de51f,239,v0.4.19+commit.c4cbbb05
2018-13167,106,ygo,0xbab6f30c81209433a3ced28ca8e19256440547d9,122,v0.4.24+commit.e67f0147
2018-13169,153,Ethereum_Cash_Pro_Coin,0x07E040D474a584cD2E7e4A819fA18420BeB5Eb4f,263,v0.4.20+commit.3155dd80
2018-13170,206,SnoqualmieCoin,0x801dd252e6B185c56b6e868f46a94D2896A80476,220,v0.4.21+commit.dfe3193c
2018-13171,215,LadaToken,0xb463ffd52534720186eb18b3b90a94bf12d61619,250,v0.4.24+commit.e67f0147
2018-13172,74,bzxcoin,0x70838403ecc194b73e50b70a177b2ef413a2f421,202,v0.4.18+commit.9cf6e910
2018-13174,74,CryptoABS,0x8ce9411df545d6b51a9bc52a89e0f6d1b54a06dd,202,v0.4.18+commit.9cf6e910
2018-13175,174,AIChain,0xb57aff26bbb822c06e81f194ec5ca29319d6d7b4,204,v0.4.24+commit.e67f0147
2018-13176,210,TrustZen,0x0a9Aa2003215BfBc6caf9a49256e9F4EC42b3c3D,245,v0.4.20-nightly.2018.1.15+commit.14fcbd65
2018-13177,145,MiningRigRentalsToken,0x5d4df6dd12fc56a31e2550efd6414e47a676ecef,193,v0.4.21+commit.dfe3193c
2018-13179,137,AirContactToken,0x9Cc3AFa655fbdD796b60c171C5aBe2Be5306599D,167,v0.4.11+commit.68ef5810
2018-13180,214,IMMCoin,0xE42Ba5558b00d2E6109CC60412d5D4c9473FE998,251,v0.4.18+commit.9cf6e910
2018-13182,74,loncoin,0x25a9ebaa3d391448c2e9b9d5d7be0c7e52873489,202,v0.4.18+commit.9cf6e910
2018-13183,207,JWCToken,0x8fea6eb21213f311e1316330533d12d28a3b6e67,915,v0.4.18+commit.9cf6e910
2018-13184,135,TravelZediToken,0xA8Ff79ae4D596341915C93DFC26fC3B5BC96b743,165,v0.4.11+commit.68ef5810
2018-13185,74,appcoins,0x01a0939b719213aabcaa075066fb4b0fb88bae56,202,v0.4.18+commit.9cf6e910
2018-13186,209,MMTCoinToken,0xae6d996aA4cf10db1c3a1027b75e7e3bF34a39D2,244,v0.4.18+commit.9cf6e910
2018-13187,223,CIBNLiveInteractiveToken,0x8b801af263b32A118575FC85e44fa05a2e8F6B36,287,v0.4.21+commit.dfe3193c
2018-13188,140,MyBoToken,0x3AC96Bbe8b60D715fD818B3FE242EdF9dEF20571,183,v0.4.11+commit.68ef5810
2018-13189,269,UNLB,0x4b319ce02bdc8977fb39fa70c49258a1a7c27d9b,335,v0.4.18+commit.9cf6e910
2018-13190,174,DVChain,0xaa164f56a3d2980223d9b72a41c885782e341c0a,204,v0.4.24+commit.e67f0147
2018-13191,223,SuperCarbonCoinToken,0xcd2DDEc1150Ded7A28834169683A0DBc93a782c2,287,v0.4.21+commit.dfe3193c
2018-13192,74,Jobscoin,0x54920ecbaadb81cfcd12cf3f8d971686fe95b269,202,v0.4.18+commit.9cf6e910
2018-13193,74,hentaisolo,0x733172c38a6956206c9d4a902fd8a045c7f822f0,202,v0.4.18+commit.9cf6e910
2018-13194,161,TTCoin,0xd59b961d5be7ae59486cf4431cbd5534c9ef4f0d,173,v0.4.21+commit.dfe3193c
2018-13195,209,CranooAdvanced,0xc2c74F6eA632A6beB1F55b4171CCD608e0575C3B,244,v0.4.18+commit.9cf6e910
2018-13196,171,TSwap,0x125C0260FeeC92471d1A144F3cDCE185a565f374,177,v0.4.6+commit.2dabbdf0
2018-13201,119,MyAdvancedToken7,0x223499d60fE7E3Dc5339e8219e708D18bfc2E6Fe,125,v0.4.13+commit.fb4cb1a
2018-13204,165,ETHERCASH,0xd7cf04472739aaa2565af739e2e1d08f99ec8981,171,v0.4.17+commit.bdeb9e52
2018-13206,195,PVE,0x1FF56987B459d1Bc67A89879d00448F3de46e12D,201,v0.4.17+commit.bdeb9e52
2018-13207,165,PornCoin,0xc310755f88145cabcaa06c714cd668b5465dceaa,171,v0.4.17+commit.bdeb9e52
2018-13208,165,MoneyTreeToken,0x070C9244a54353a0F9c43670b21856Df2CC4e439,171,v0.4.17+commit.bdeb9e52
2018-13209,165,NectarCoin,0x5e0D4C7713914d17989Ff5Bcdfa5583dD714e65F,171,v0.4.17+commit.bdeb9e52
2018-13212,165,EthereumLegit,0xbaf9d121d6447b19e95f48fad834a0dff1a92691,171,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13213,184,TravelCoinToken,0x23CB17d7D079518dBfF4FeBb6efCc0dE58d8c984,298,v0.4.16+commit.d7661dd9
2018-13218,165,ICODollar,0x7dFc425c0425D69CA577d76c6D53A26A6C2CC0ac,171,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13220,165,MAVCash,0x61dc161B06088b9cbaaD53391134929A83D1EB7A,171,v0.4.11+commit.68ef5810
2018-13221,164,ExtremeToken,0xFf1560afEF58be59b11C72734ad1d89db63e4E71,186,v0.4.14+commit.c2215d46
2018-13222,170,ObjectToken,0x868326eFCA6e89F75a76D141167759f1AD10854C,176,v0.4.11+commit.68ef5810
2018-13223,167,RTokenMain,0x79BA6302bdB1c601A54b656E23a5Bc3A2d5914b3,172,v0.4.8+commit.60cc1668
2018-13225,168,MyYLCToken,0x9f03d94bf3545153cb28014bC7D1e7177cA99034,181,v0.4.13+commit.fb4cb1a
2018-13227,166,MoneyChainNetToken,0x77727EF417696F95A10652cF2d02d6421DDA5048,172,v0.4.17+commit.bdeb9e52
2018-13228,165,Crowdnext,0xc52694e7832594f2aaf2536c777024fb5c1ae9da,171,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13229,166,RiptideCoin,0xdd007278b667f6bef52fd0a4c23604aa1f96039a,172,v0.4.16+commit.d7661dd9
2018-13230,165,DestiNeedToken,0xdFF8e7f5496D1e1A4Af3497Cb4712017a9C65442,171,v0.4.17+commit.bdeb9e52
2018-13231,165,EnterToken,0xb1bd9e21ccbec1102e61e6613bdd018eaa24c77b,171,v0.4.16+commit.d7661dd9
2018-13232,165,EnterCoin,0x08e836f7d4804d39e798b6459fa54543f260d4c0,171,v0.4.16+commit.d7661dd9
2018-13328,62.68.86,PFGC,0xa2c4f961b93fc7bc200d2c8e55b6fe6958366787,104,v0.4.25-nightly.2018.5.17+commit.4aa2f036
2018-13462,210,MoonToken,0x63a38225fa56f09201070c2898175f60a1811b58,246,v0.4.24+commit.e67f0147
2018-13464,146,t_swap,0x77eec19c8ba79b1c7c79311ec810cbf88d924751,194,v0.4.6+commit.2dabbdf0
2018-13465,106,PaulyCoin,0x3a3bd8d493df4245caeed007c664240d757a6298,177,v0.4.18+commit.9cf6e910
2018-13466,74,Crystals,0x1b09cd594ddeaa336564dd24fe6ef43688f27c62,202,v0.4.18+commit.9cf6e910
2018-13467,209,EpiphanyCoin,0x1b413506fc42e2f04a4e8c57710f850b234d6653,244,v0.4.20-nightly.2018.1.19+commit.eba46a65
2018-13468,74,Cavecoin,0x7c2dcd52815b16e1cbda441b45915dc03b5ab3eb,202,v0.4.18+commit.9cf6e910
2018-13470,58,BuyerToken,0x18429dedafbb65443edf60402294df5c01aee1da,130,v0.4.6+commit.2dabbdf0
2018-13475,200,VSCToken,0x826020e146be225776a433d1fa301962be6784f5,235,v0.4.20-nightly.2018.1.6+commit.2548228b
2018-13477,310,CTESale,0xa6ba0aa61ccd254fd92d548dfe87d06533649c12,473,v0.4.20-nightly.2017.12.20+commit.efc198d5
2018-13478,200,DMPToken,0xde0df6633389e6ba997c6db843c5d4dd3f378b6f,235,v0.4.20-nightly.2017.12.20+commit.efc198d5
2018-13479,208,SlidebitsToken,0xb7fe7b2b723020cf668db4f78992d10f81990fc4,243,v0.4.19+commit.c4cbbb05
2018-13480,207,QRG,0xffaa5ffc455d9131f8a2713a741fd1960330508b,244,v0.4.23+commit.124ca40d
2018-13484,216,CBRToken,0x7e750348983e17267dfbe939dfa008b25fd07459,251,v0.4.16+commit.d7661dd9
2018-13485,198,BitcoinAgileToken,0x580c1e3caca14826976b5820947f7ad486ac174d,233,v0.4.16+commit.d7661dd9
2018-13487,132,PlatoToken,0x990da731331aE62c3e8f3f73cB4ebeb6F082Bc7c,141,v0.4.13+commit.fb4cb1a
2018-13489,176,OllisCoin,0x1db7f8171d82f9fc009f207cd80dd00a54b77560,211,v0.4.19-nightly.2017.11.30+commit.f5a2508e
2018-13490,209,FILM,0x66b11115e070269d65400ea359a72d643804cc2f,244,v0.4.18+commit.9cf6e910
2018-13492,74,naga,0x262a02a7de2124ca49ea98d55a3ed723fa605615,202,v0.4.18+commit.9cf6e910
2018-13493,280,DaddyToken,0x81a9ebfdcd87cd291eb5e5260901a898df3bdafd,344,v0.4.16+commit.d7661dd9
2018-13494,123,SusanTokenERC20,0xe123d4103e14edd84bfc2158f8d55c1c43f9efc3,132,v0.4.20+commit.3155dd80
2018-13495,200,KMCToken,0x3ddd6a5dc87798285d43515832c17cbff141ad28,235,v0.4.21-nightly.2018.2.28+commit.ac5485a2
2018-13497,215,COBToken,0x0cb04783732bcfd6c5d44c166d71d97a50a257e5,267,v0.4.24+commit.e67f0147
2018-13498,174,KAPAYcoin,0xbe9d853914fb4d7bc189a918183c835aca98cdb6,204,v0.4.24+commit.e67f0147
2018-13500,163,MSXAdvanced,0x4e6b294e9cbe702f76a34949cf1674961211e5fc,202,v0.4.21+commit.dfe3193c
2018-13501,98,HRWtoken,0x8cbe659dcf03388ad6098b0bea656b0f2e4011ba,124,v0.4.15+commit.bbb8e64f
2018-13502,134,HeliumNetwork,0xb7ade180e00237ce27845a0afc4986b852d443b8,258,v0.4.25-nightly.2018.6.8+commit.81c5a6e4
2018-13505,74,ecogreenhouse,0xfb07cd636d26b660c8599e5778b6a2bfbb5f0ee9,202,v0.4.18+commit.9cf6e910
2018-13507,213,SLCAdvancedToken,0xcf1c5b13631cd64786f33b071bf632704d4397d4,248,v0.4.16+commit.d7661dd9
2018-13509,199,IamRich,0x1d8ed4b0a3147ed17ea09582b46e0c9635396720,229,v0.4.19+commit.c4cbbb05
2018-13511,206,CorelliCoin,0x848a4afd7b2d0979bd9b97f5bf6874c07ea95037,220,v0.4.21+commit.dfe3193c
2018-13512,206,SmartHomeCoin,0x5b527c8cc72ea4b8681e44754be6248b107c5229,220,v0.4.19+commit.c4cbbb05
2018-13513,209,Ubiou,0x8361638cf6ee3d6587f8435523cbeffd23b826ff,244,v0.4.24-nightly.2018.5.10+commit.85d417a8
2018-13514,74,esportz,0x5fe56bfa37217bd8a2879c15c85ed7a894edf5a6,202,v0.4.18+commit.9cf6e910
2018-13515,74,aman,0x3890a555528b00178d8ff87f30d0531ad5e3aed7,202,v0.4.18+commit.9cf6e910
2018-13517,204,C3_TokenCreate,0x2d1fbbd6F82738CA00b09024A81E12A8816A22bC,228,v0.4.24-nightly.2018.5.11+commit.43803b1a
2018-13519,207,DigitalCloudToken,0x9502ff0048cc83b56a9c9e579d6ff5ac60497d18,240,v0.4.19+commit.c4cbbb05
2018-13520,90,TopscoinAdvanced,0x8d3b41db8265f3f96ffc68d261a332a6b11ef06c,177,v0.4.19+commit.c4cbbb05
2018-13521,74,PinkyToken,0xd317ff47dc7e1423e5e050870a66332833e5fd88,205,v0.4.18+commit.9cf6e910
2018-13522,199,EXGROUP,0xa7a3de21f9505eaa8a4d34ae2d5497f8d5df35c2,212,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13523,205,SmartPayment,0x5c4e3dbca1dea91d26ace342dbe9e3ad7e5d3ccf,240,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13527,166,ElevateCoin,0x19c324EE97bedf04b71D9907102381246D307e65,268,v0.4.17+commit.bdeb9e52
2018-13528,209,DhaCoin,0xaA70bC3e835e12D6902a8E4dA77db4842e519c42,244,v0.4.21+commit.dfe3193c
2018-13529,209,BetterThanAdrien,0x4102c1d4081a8b5e1757fce8adfeeacbe5d47261,244,v0.4.23+commit.124ca40d
2018-13530,30,HunterCoin,0x248044753872e64c288b35b0e71e8b29222e3ab8,83,v0.4.15+commit.bbb8e64f
2018-13533,132,ALUXToken,0x42cee7dd9b47c2cee35ca996a712e8c99471d46f,191,v0.4.18+commit.9cf6e910
2018-13534,218,SpeedCashTokenContract,0x4907992735804D10FA5e96C07A5d77a79543B691,253,v0.4.20+commit.3155dd80
2018-13535,478,PACCOIN,0x2adeedc69348a2ca9a1c5ec7e9df6d7919c10617,548,v0.4.25-nightly.2018.6.8+commit.81c5a6e4
2018-13538,209,SIPCToken,0x2a3ba8a83bbbc3c3c9ea8c786b8e0d536d36919a,244,v0.4.21-nightly.2018.2.23+commit.cae6cc2c
2018-13539,106,Bcxss,0x2021526a4a62a70f52c0340b0f67740a08b94e01,122,v0.4.24+commit.e67f0147
2018-13541,252,CryptoLeu,0x80754f5833c606d6443cfa315d933ad599fc3d07,287,v0.4.19+commit.c4cbbb05
2018-13542,208,ZIBToken,0x357aac74d5fc24f271e5652ec6bdd8abfe048505,243,v0.4.16+commit.d7661dd9
2018-13543,140,GemstoneToken,0x5b6acebad8f9e969d54bbe7c6efdc8674f8c7e76,264,v0.4.20+commit.3155dd80
2018-13544,222,Numisma,0x31243ce202f30d4aa4ed723b927fa8731cb951e9,242,v0.4.20+commit.3155dd80
2018-13545,214,HashShield,0x4d9b86A39D73101a8dB6E1b4Aa8c1ecfDc3F956E,235,v0.4.19+commit.c4cbbb05
2018-13546,209,CCASH,0x935636cd4e6a52227c97e68fe2c299305bd6f705,244,v0.4.24+commit.e67f0147
2018-13551,74,Bgamecoin,0x7e5ba6b8937db2e6ad5381d6128773a231676009,205,v0.4.18+commit.9cf6e910
2018-13555,161,JaxBox,0xea7A3213b47099E3368F8f9A5f382540C80c2eB9,269,v0.4.17+commit.bdeb9e52
2018-13562,415,BMVCoin,0xa25d9e3c177a45265349d4bd37b23ec2669dea5b,485,v0.4.18+commit.9cf6e910
2018-13564,174,GATcoin,0xe841d388ed30c0988d5a2db071062c202f9c3a86,204,v0.4.24+commit.e67f0147
2018-13569,208,HitToken,0x6596653478adc7c54d706c73a490a9ac2b141197,222,v0.4.19+commit.c4cbbb05
2018-13571,152,GoramCoin,0x14e49E4622cd4244E7616724d33ad50126674D2c,197,v0.4.13+commit.fb4cb1a
2018-13572,152,PGM_Coin,0x9B0E5F3278f3AD8C671795102D1FDEc336682F04,262,v0.4.20+commit.3155dd80
2018-13576,162,JuntsPerCreixer,0x95171F2a14A4d75c416D8c0c422338E3fdBAB951,168,v0.4.19+commit.c4cbbb05
2018-13582,146,My2Token,0x82c2c4c70649b19c9f4cc5e1e8f20c8233f6cfe1,151,v0.4.13+commit.fb4cb1a
2018-13584,74,yasudem,0x53e222554de8d71b51909060d002b35a72a4d3a6,202,v0.4.18+commit.9cf6e910
2018-13601,209,GalacticX,0x5c13a9ad2601eeec34672c655d2ca994a360c4a0,244,v0.4.16+commit.d7661dd9
2018-13607,209,ResidualShare,0xb6cf4da49ef2b526e2ef480ff5c74c23819218e4,249,v0.4.24+commit.e67f0147
2018-13611,213,CDcurrency,0x64abd25c4fa5a18abf9f2992352d9f73341aabd8,248,v0.4.16+commit.d7661dd9
2018-13616,172,IOCT_Coin,0xb0bef286a13457b963c710fa7765961d09a27c63,274,v0.4.19+commit.c4cbbb05
2018-13619,209,MicoinToken,0xf310d06a54eda5d5ae204b0aa9b5e207972d80b9,244,v0.4.16+commit.d7661dd9
2018-13624,209,WXSLToken,0xf26a3792ac7bc158f9c2df197be569d4842c24be,244,v0.4.21+commit.dfe3193c
2018-13625,231,Krown,0x10e886bacd4a12c21bb39646751374eae495b776,271,v0.4.13+commit.fb4cb1a
2018-13627,156,MyOffer,0x8c114e498af111f1e2185e34880b59880f1c36ce,190,v0.4.13+commit.fb4cb1a
2018-13638,74,Bitpark,0x38c04d415f6740c7700185533a64b5f44cbf684c,202,v0.4.18+commit.9cf6e910
2018-13641,174,MVGcoin,0x48233be3b3a963dc6a4c11e87f9890322dbfc7d9,204,v0.4.21+commit.dfe3193c
2018-13642,174,SECoin,0x19bd81125a6b19d8531491914bee30c2222e4fac,204,v0.4.21+commit.dfe3193c
2018-13644,135,RoyalClassicCoin,0xf3f208c2c56c65abea965acd82b1a196528cfc0c,162,v0.4.18+commit.9cf6e910
2018-13653,74,ipshoots,0x3ba5a8d30a598c58558f11d8347f76dd6f1d05f6,202,v0.4.18+commit.9cf6e910
2018-13654,209,ESTSToken,0x054ad3cd4a66f14bf5c0de2548a53be66995a4f6,244,v0.4.19+commit.c4cbbb05
2018-13662,209,WorldOpctionChain,0x09fe365076429a478f8b5391de59c362d3ab5004,244,v0.4.16+commit.d7661dd9
2018-13663,159,BSCToken,0xac1ec3143b89d5b263d9194db216ea068e0f3dc9,241,v0.4.16+commit.d7661dd9
2018-13668,209,BTPCoin,0x1b226d98ab123792f68e2d51e1a657e0084b395a,244,v0.4.19+commit.c4cbbb05
2018-13692,231,MehdiTAZIToken,0xee477b54bcb99ad2f5f7dece17069188e3bb69f4,266,v0.4.21-nightly.2018.2.21+commit.16c7eabc
2018-13697,210,RobotBTC,0x9ab4fd2234d75cfa894c394b367e48055b531e56,251,v0.4.18+commit.9cf6e910
2018-13700,206,IPMCoin,0xc96c626588e62d059c87a8fddf851641bc69ae6e,241,v0.4.18+commit.9cf6e910
2018-13705,179,PMHToken,0xa52c8371d379d7036a862673b08bd73faf4660fd,315,v0.4.23+commit.124ca40d
2018-13710,139,Mjolnir,0x688dc3f750ae8ea87372ed31b6f3141c86a6e01f,263,v0.4.24+commit.e67f0147
2018-13716,74,sexhdsolo,0x754a024bd98c79532e570af47e21695a861d2be3,202,v0.4.18+commit.9cf6e910
2018-13722,370,HYIPToken,0x2d6669c810bf1444d2e5e7f4cfc56a4c10cf7a2a,410,v0.4.12+commit.194ff033
2018-13729,165,JPMD100B,0xec4A8dBBc717Af02E570B3FBA82Bb13b83C3D32d,267,v0.4.17+commit.bdeb9e52
2018-13730,209,HEY,0x6ab969638ccf8f2af797f426aaa666d45adab65f,244,v0.4.20-nightly.2018.1.29+commit.a668b9de
2018-13736,101,ELearningCoinERC,0x5d406656272da7c83966be544910732c4a547f86,115,v0.4.20+commit.3155dd80
2018-13737,123,AnovaBace,0x19e732aa432d4003c7745237f9fa670c9262a5fc,151,v0.4.17-nightly.2017.8.24+commit.12d9f79
2018-13739,74,dopnetwork,0xec80c5bfdde9ffd66547a80986403f5ae2831888,202,v0.4.18+commit.9cf6e910
2018-13740,48,OneChain,0x6b17bfa6930e7490ebd2874cef490074708f36b9,177,v0.4.18+commit.9cf6e910
2018-13741,200,ABLGenesisToken,0x4253d9142bc0537b46a0d8dc31f014bb1bb3096a,235,v0.4.20+commit.3155dd80
2018-13755,209,OTAKUToken,0x80a9ca0bee2a09753d27657f7ab6d6e018e78b55,239,v0.4.19+commit.c4cbbb05
2018-13757,206,Coinquer,0x1660ef71da631bf8b8bf5656f49bc635c97dfc1c,220,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13759,125,BIGCAdvancedToken,0x574fab3ce9a7c0cf2d4d774370839bc86ca59787,152,v0.4.16+commit.d7661dd9
2018-13762,787,Yumerium,0x7f4404db6a3f4d3cfb41d5920d81d44d64759235,861,v0.4.23+commit.124ca40d
2018-13771,206,ExacoreContract,0x1d521966b23820bb2bf130119c10aacc97eb324b,219,v0.4.21+commit.dfe3193c
2018-13773,169,NetkillerToken,0x6333050C7a025027B51A8039CbAfd2584933299d,181,v0.4.21+commit.dfe3193c
2018-13775,153,RCKT_Coin,0xeF1ebeCD5440B8e22136D2eFea15Ff4E7D62D541,263,v0.4.19+commit.c4cbbb05
2018-13776,257,AppleToken,0x9f99573cf3356df3649cd25d17af974fd5abb98f,292,v0.4.24+commit.e67f0147